"hospital","total_bill_amount"
"Galloway-Hall","6796.02"
"Shelton-Davis","6793.09"
"King, Miller Moore and","6789.79"
"Morrow, and Miller Reid","6789.21"
"Santiago, and Keith Johnson","6788.42"
"Bartlett-Martinez","6788.19"
"Mays Inc","6787.94"
"Chen-Castillo","6785.24"
"Hinton-Bridges","6782.90"
"Ellis-Bond","6781.70"
"Jordan, and Ramirez Romero","6781.16"
"Hammond Kelly, Wise and","6779.61"
"Hunter-Cooper","6777.59"
"PLC Gay","6773.83"
"Young, Collier and Meyer","6773.36"
"and Eaton, Johnson Aguirre","6773.09"
"PLC Olsen","6772.73"
"Rivera-Wolf","6769.06"
"Guzman-Stanton","6768.16"
"Ayers, Coleman Garcia and","6768.09"
"Russo, Thomas and Kerr","6767.88"
"Nelson Walker Myers, and","6767.63"
"Lamb-Mills","6766.65"
"Sutton-Bailey","6761.62"
"Davis Williams and Oconnell,","6760.66"
"Mcintosh-Smith","6758.20"
"Sims-Tucker","6757.20"
"and Contreras, Harvey Jimenez","6756.57"
"Lambert Gilmore, Campbell and","6755.84"
"and Clay, Rios Sims","6755.68"
"Potts-Bernard","6753.50"
"and Little Fowler Bush,","6752.81"
"and Spencer, Richards Bryant","6747.59"
"Day Wyatt and Mccarthy,","6745.17"
"Rollins-Griffin","6745.01"
"PLC Miles","6744.63"
"and Leblanc Soto, King","6744.33"
"Hughes-Rodriguez","6743.67"
"Group Hardin","6743.55"
"Cruz-Nelson","6743.31"
"Alvarado-Scott","6742.94"
"Stewart James, Hall and","6740.75"
"Poole PLC","6739.78"
"Lucas Stevens, and Hurst","6738.28"
"Wilson-George","6737.38"
"Johnson-Kirk","6737.15"
"Marshall and Santiago, Smith","6736.05"
"Ward Johnson and Cummings,","6735.78"
"Patrick, and Howard Joyce","6735.77"
"and Hall Austin Daniels,","6735.55"
"Jones-Velazquez","6734.08"
"Harrell-Mcclure","6733.06"
"Rodriguez-Goodman","6730.53"
"and Hall, Robinson Perez","6729.63"
"Garrett-Schmidt","6729.48"
"Holland-Black","6727.69"
"Hicks Hancock, and Williams","6726.46"
"Rose, and Pacheco Curry","6724.90"
"and Wheeler Garcia Garcia,","6723.34"
"Baker-Simon","6723.19"
"and Jones Perez, Brown","6719.85"
"Lopez-Jenkins","6718.60"
"Navarro-Lewis","6717.72"
"Chang Scott and Weber,","6715.70"
"Gould-Pena","6715.68"
"Smith, Johnson Wade and","6713.39"
"Davenport Hernandez Sweeney, and","6712.80"
"Villarreal-Herrera","6710.00"
"Garcia Woodward and Morgan,","6709.76"
"and Mathis, Chen Nash","6708.55"
"Sons Rosario and","6706.94"
"Saunders, Collins and Morgan","6706.78"
"Washington and Carrillo Carter,","6705.78"
"Andrews-Martinez","6704.95"
"Martin-Thompson","6704.75"
"Grimes-Pennington","6704.69"
"Group Aguilar","6701.76"
"Barton PLC","6699.51"
"Anderson Price, and Wells","6699.16"
"Phillips-Wu","6697.22"
"and Roach Paul, Grant","6697.14"
"Russo Buckley, and Ferguson","6696.26"
"Ltd Schultz","6695.18"
"Sanchez-Cook","6691.91"
"Valentine, and Gonzalez Cook","6690.31"
"Bell Daniels, and Hurst","6689.79"
"Smith, Jensen Wolfe and","6688.41"
"Walsh LLC","6688.32"
"Farmer LLC","6687.64"
"and Hill Lawson Saunders,","6686.67"
"Combs-Peterson","6685.06"
"PLC Doyle","6684.90"
"Mcdowell-Barnett","6684.21"
"PLC Willis","6682.46"
"Wood-Riddle","6679.78"
"Barnes, and Martin Perez","6679.46"
"Barron Smith, Sullivan and","6675.50"
"Rodriguez, Crawford Warren and","6675.05"
"Martin and Schneider Myers,","6674.83"
"Oneill-Marshall","6673.11"
"Chapman-Cooper","6672.70"
"Luna Flowers, and Marsh","6669.03"
"and Hurley Thomas Davidson,","6668.91"
"Shaw, Dawson and Nicholson","6665.15"
"Stewart-Daniel","6664.53"
"Cantrell-Griffith","6662.24"
"Duncan Sanchez, Campbell and","6660.05"
"Nelson and Black, Dixon","6659.59"
"and Woods, Rodriguez Williams","6657.35"
"Boyle-Woods","6653.59"
"Grimes Jones and Swanson,","6653.49"
"Navarro-Johnson","6652.56"
"Warren-Garcia","6652.52"
"Hunt-Hooper","6651.95"
"Vaughn and Smith Fritz,","6650.50"
"and Cooper Potter, Landry","6649.00"
"Allen Hurst, Gonzalez and","6640.90"
"Norman, Coleman and Ford","6640.83"
"Cooper, and Hall Smith","6639.23"
"Parker Inc","6637.46"
"Molina, and Gilbert Branch","6637.15"
"Poole Wilson Rhodes, and","6636.59"
"Mata-Coleman","6635.91"
"Jones Welch and Schmidt,","6635.88"
"and Castro, Jones Mendoza","6632.95"
"Stephens and Clark, Mann","6631.13"
"Hanson-Miles","6630.66"
"LLC Walter","6630.32"
"Black-Jordan","6628.62"
"and Taylor Walker, Stokes","6628.59"
"Garcia-Carter","6627.79"
"Chapman Wiggins, Byrd and","6626.55"
"and Sons Padilla","6625.85"
"Lawrence PLC","6622.60"
"Fletcher, Cortez Serrano and","6621.47"
"Thornton, Brock Montgomery and","6620.62"
"Reed-Massey","6615.29"
"Murray-Snyder","6614.25"
"Aguilar Cardenas and Frederick,","6611.76"
"Day Myers, Mayer and","6609.77"
"Gay-Johnson","6609.47"
"Marsh-Dickerson","6607.63"
"Ross Lee, Wilson and","6606.09"
"Thomas-Miller","6604.20"
"Murphy Hess Johnson, and","6603.94"
"Rodriguez-Collins","6603.62"
"and Jimenez Gardner, Harris","6603.57"
"Flores Smith and Obrien,","6602.62"
"and Liu Everett Allison,","6602.19"
"Ramirez, Compton Figueroa and","6599.33"
"Smith, Luna May and","6599.12"
"Wiley-Page","6598.96"
"Cardenas-Estes","6597.31"
"Parker-Stewart","6597.16"
"and Anderson Flowers, Tucker","6596.19"
"and Pruitt Pineda Sanchez,","6584.66"
"Kaiser-Mejia","6581.12"
"Larson-Knox","6579.08"
"Edwards Johnson, and Burgess","6578.03"
"Sanchez-Mccullough","6576.09"
"Ltd Herring","6575.94"
"Kim-Buckley","6573.55"
"Valdez-Travis","6567.90"
"Medina-Bean","6567.48"
"Nielsen-Reed","6565.74"
"Henderson-Moore","6565.26"
"Anderson Walton and Barton,","6562.85"
"Snyder-Hodges","6562.60"
"Norris, Baker and Santos","6560.56"
"Gilbert Shannon, Smith and","6559.39"
"Bennett-Kidd","6559.20"
"LLC Michael","6558.47"
"Morrow, Jackson Poole and","6558.32"
"Rice and Ochoa Parker,","6558.04"
"and Lewis Wheeler Moon,","6555.12"
"Edwards and Smith, Pruitt","6554.55"
"Torres, Boyle and Hubbard","6552.77"
"Johnson-Baxter","6549.95"
"Rose-Reynolds","6549.92"
"and Hall Little Moon,","6549.17"
"Martinez-Douglas","6546.99"
"Sons and Morris","6546.65"
"Brown, Davidson and Lopez","6545.17"
"Snow Smith, and Tucker","6545.10"
"Douglas-Wagner","6544.58"
"Cooper-Perkins","6544.47"
"Carter and Jennings, Carter","6541.43"
"Miller-Barber","6541.17"
"Maldonado Anderson and Adkins,","6539.76"
"Reilly and Cortez, Reed","6538.40"
"Mendoza-Lyons","6537.11"
"Bailey-Sullivan","6536.04"
"Dixon-Ray","6535.63"
"Vaughn-Norris","6534.08"
"Burton Wang, Garrison and","6533.91"
"and Phillips, Collins Doyle","6533.82"
"Lucas-Campbell","6531.56"
"and Sons Robinson","6531.01"
"Sons and Newton","6529.07"
"Barrett-Johnson","6524.60"
"Kane LLC","6521.87"
"Spence Scott, and Johnson","6517.96"
"Padilla, and Ryan Vargas","6517.07"
"Wilkins Morgan, Scott and","6514.87"
"Ramirez, Ferguson Chambers and","6513.95"
"Mercado-Woods","6513.87"
"Gonzalez Berger, and Morris","6512.96"
"Page and Lamb, Bryant","6510.29"
"Smith, Shaw Stevens and","6509.12"
"Santiago, Hansen and Jones","6506.86"
"Morales-Patel","6500.89"
"Andrade-French","6499.64"
"Ltd Snyder","6497.77"
"and Sons Roberts","6493.76"
"Smith and Price Dalton,","6492.90"
"Rodriguez-Rodriguez","6492.83"
"and Sons Barnett","6489.19"
"Poole LLC","6486.24"
"LLC Buckley","6486.16"
"Salazar-Peters","6484.26"
"Reed and Williams Jones,","6483.65"
"Beck-Griffin","6482.81"
"Estrada-Martin","6482.05"
"Adams-Velasquez","6481.97"
"Garcia-Bell","6480.79"
"Torres Price and Hurley,","6480.78"
"Wu-Morton","6479.53"
"Wells and Russell, May","6478.57"
"and Richards Ramirez Chavez,","6477.31"
"Mcdonald and Smith Flynn,","6476.95"
"Ramirez-Camacho","6476.89"
"Burke Cain, Price and","6476.42"
"Sullivan-Keller","6475.26"
"Brown-Garcia","6467.06"
"Herrera, and Bowen Lane","6462.02"
"Sanchez-Moore","6461.92"
"Brown Johnson, Young and","6460.93"
"and Byrd Carroll, Washington","6459.62"
"Dillon-Marshall","6459.41"
"Gonzales-Chapman","6456.53"
"and Norris Hill, Sanders","6455.86"
"Huber, and Smith Rivera","6455.40"
"Frazier, Elliott White and","6453.77"
"Atkins Martinez and Duncan,","6453.34"
"Garrison-Jackson","6453.08"
"Harris-Gay","6452.02"
"Rice Johnson Lang, and","6451.28"
"LLC Berg","6447.77"
"Harris, York and Brown","6447.76"
"Estes Nguyen, Green and","6446.81"
"and Johnson Campbell Castro,","6445.85"
"White-Valentine","6445.31"
"Martin-Morales","6444.24"
"Moore and Lopez, Alvarado","6440.03"
"Sons and Macias","6437.14"
"Wood-Ward","6436.88"
"Wang-Greene","6436.76"
"Stone-Robinson","6436.72"
"Cummings Becker, Lam and","6436.23"
"Chavez-Burke","6435.86"
"Romero-Pollard","6434.64"
"Pittman-Rogers","6432.25"
"Carter, Carter Evans and","6432.15"
"Sparks and Mckinney Thomas,","6431.67"
"Jones and Franklin, Smith","6430.57"
"Downs Ltd","6430.39"
"Knight-Morales","6427.19"
"Padilla and Dennis, Pennington","6427.01"
"Deleon and Dennis Holland,","6426.63"
"Bernard and Carroll, Gross","6424.14"
"Diaz-Simon","6423.86"
"Hunt, and Alvarez Mendoza","6421.92"
"Shields and Chandler Parker,","6421.71"
"Gilbert-Adams","6421.42"
"Gibson-Perry","6419.16"
"and Thomas Soto Williams,","6418.24"
"PLC Wang","6416.47"
"Rodriguez, Reid Hawkins and","6414.85"
"Patrick-Olson","6410.65"
"Frye Owens and Kennedy,","6408.51"
"Smith-Ewing","6407.90"
"and Obrien Sons","6407.19"
"Burke-Dominguez","6406.18"
"Walker and Huffman Fernandez,","6404.92"
"Duncan Inc","6403.21"
"Foley, and Sexton Kirby","6403.00"
"Conner-Ortiz","6399.78"
"Washington, and Johnson Thomas","6399.30"
"Evans Dennis and Rodriguez,","6397.91"
"Cohen-Dominguez","6396.40"
"Hill-Rogers","6395.25"
"Pierce-Banks","6394.43"
"Bruce and Spencer, Durham","6393.26"
"Charles and Dillon Beck,","6393.13"
"and Sons Cooley","6388.20"
"Bennett-Gibson","6387.46"
"Brandt-Smith","6384.70"
"Preston PLC","6380.38"
"Acosta-Taylor","6380.16"
"PLC Walsh","6379.88"
"Crawford-Sweeney","6379.22"
"Gonzales-Lambert","6379.18"
"and Hall Davis, Thomas","6378.41"
"Ray LLC","6377.14"
"Thomas-Adkins","6376.13"
"Murphy and Rodriguez, Brown","6374.48"
"Velazquez-Carpenter","6373.78"
"Torres Vazquez and Boyd,","6372.42"
"Wheeler-West","6371.66"
"Matthews-Vincent","6370.83"
"Williams-Jensen","6370.51"
"Barnes and Hopkins Huynh,","6369.91"
"Rogers, and Sanford Henry","6366.41"
"and Torres Hart, White","6366.40"
"and Cooper Soto Mccullough,","6364.48"
"Montes-Terry","6363.91"
"Sons Stephenson and","6363.90"
"Smith Graves, and Crawford","6362.70"
"Price Turner and Brown,","6362.05"
"Rose Brown and Smith,","6361.26"
"and Pennington, Sweeney Lin","6360.98"
"Chavez, Peters and Clark","6360.69"
"Williams Hogan and Stevens,","6360.41"
"Shaffer PLC","6360.41"
"Tate Flynn, and Wiggins","6360.04"
"Obrien and Adams Wagner,","6359.95"
"and Hart Buchanan, Hall","6358.67"
"Shepherd, Brown Frank and","6357.11"
"Ltd Newton","6357.04"
"Williams-Lee","6355.63"
"Grimes-Hernandez","6354.39"
"Sanchez, Nelson and Riddle","6353.43"
"Townsend-Rodriguez","6352.90"
"Taylor-Lowery","6350.60"
"Ramos-Jensen","6349.88"
"and Choi, Campbell Jackson","6347.75"
"Johnson Villarreal and Gomez,","6346.96"
"Howard, and Murphy Wagner","6346.15"
"and Robinson White, Haynes","6345.55"
"Harvey-Alvarez","6345.35"
"Gray, and Cross Norman","6343.90"
"Group Gregory","6337.22"
"Gomez, and Martin Smith","6334.55"
"Garcia, Dalton Peterson and","6334.20"
"Payne-Brewer","6333.90"
"Jenkins-Fields","6333.76"
"Wright Gonzalez, and Griffin","6333.12"
"and Coleman, Perry Owen","6333.12"
"Sons Chapman and","6332.03"
"Weber Green Brown, and","6330.86"
"Jones Walters Cannon, and","6328.08"
"Dillon PLC","6327.80"
"Elliott, and Davis Sanchez","6327.46"
"and Lang Grant, King","6325.70"
"Williams-Francis","6323.05"
"Wilson Bennett and Vargas,","6322.18"
"Holt-Vaughn","6322.01"
"Campbell, Maldonado Lozano and","6321.19"
"Marquez-Hahn","6319.16"
"Martin-Owens","6318.00"
"Short, Martinez Sanchez and","6317.97"
"Davis and Henderson, Henderson","6316.87"
"Hurley-Wilson","6315.75"
"Smith and Perkins, Joseph","6314.32"
"Boone-Hicks","6312.82"
"Kemp-Munoz","6312.61"
"Perry Sons and","6310.39"
"Bishop-Jensen","6310.22"
"Church and Sons","6309.67"
"Montoya and Dixon, Love","6309.39"
"Bates-Brown","6308.96"
"Jackson, Tate Ayers and","6306.65"
"Michael-Mendoza","6306.60"
"Roy-Taylor","6306.11"
"and Ortiz Ortiz, James","6305.86"
"Bennett-Nelson","6304.35"
"Hansen-Adkins","6302.67"
"and Sons Mcclain","6302.46"
"Haney-Nielsen","6297.69"
"PLC Mcmillan","6297.23"
"Glass Sandoval, and Dixon","6296.79"
"Hill, and Lopez Brown","6294.01"
"David and Byrd Alexander,","6293.25"
"Harris-West","6293.14"
"Schmidt-Smith","6292.77"
"Perry, Huerta Shea and","6291.76"
"Evans-Rangel","6290.84"
"Palmer-Moore","6288.37"
"Knapp-Colon","6288.21"
"LLC Cunningham","6287.01"
"Miller-Owen","6285.91"
"Moore-Jackson","6285.03"
"Parsons-Scott","6280.73"
"Price and Pittman Gibson,","6280.55"
"Chambers-Welch","6277.31"
"Moon-Chang","6276.82"
"Inc Wilkerson","6274.24"
"and Singh, Hall Nichols","6271.94"
"Moody, Johnson and Collins","6268.77"
"and Lee, Fletcher Davis","6268.34"
"Inc Harmon","6267.54"
"White and Mendez Stark,","6267.41"
"Perkins-English","6263.55"
"White Gray, Blair and","6262.00"
"Taylor, Sanchez and Jackson","6260.09"
"Jennings-Cordova","6257.50"
"and Cisneros Jackson, Kelly","6257.39"
"Cowan Cardenas Allen, and","6257.13"
"Rivers, Lee and Mcdonald","6256.09"
"Lyons-Edwards","6252.65"
"Bowers-Ortiz","6248.88"
"Saunders, Hughes Alvarado and","6247.76"
"Mcneil, and Floyd Jordan","6247.17"
"Miller and Jensen, Turner","6246.37"
"and Miller Hamilton Woodard,","6245.54"
"Allen, Johnson and Cooper","6242.87"
"and Moore, Murphy Murphy","6241.91"
"and Schwartz Sons","6241.39"
"Flores-Wilkinson","6240.41"
"Alexander-Villa","6240.27"
"and Moyer Powell, Padilla","6239.65"
"Gomez-Velez","6238.99"
"Bradford-Dorsey","6237.66"
"Graham, Prince and Ward","6234.93"
"Jones Mitchell and Parsons,","6234.50"
"Johnson-Travis","6233.49"
"Mayo and Sons","6232.00"
"Ltd Koch","6225.74"
"Frederick, and Martinez Rivera","6224.65"
"PLC Larsen","6224.10"
"Williamson-Murray","6223.30"
"Huffman and Moss, Young","6221.45"
"Reid Group","6219.99"
"Pratt-Rodriguez","6219.57"
"Gibson and Cameron Mckee,","6216.60"
"Friedman, and Scott Dalton","6215.48"
"Deleon-Boyd","6212.32"
"Kelley Herrera Parker, and","6211.30"
"Johnson-White","6210.90"
"Wells-Ryan","6210.05"
"Group Mckinney","6208.92"
"Bonilla and Sons","6208.41"
"Inc Mcmillan","6204.07"
"and Martin Olson, Hurst","6202.93"
"and Harris Underwood Hernandez,","6202.07"
"Vega Inc","6201.90"
"Branch-Norris","6199.36"
"Holland-Marsh","6197.08"
"Garcia Edwards and Daniel,","6196.64"
"Roth-Ramirez","6195.20"
"Weiss and Sons","6194.94"
"Lawrence Snyder Bradley, and","6194.37"
"Cochran-Kelley","6193.94"
"Robinson-Schroeder","6192.04"
"Smith Brown Wallace, and","6191.39"
"Randall and Rasmussen, Sosa","6191.10"
"and Velasquez, Rodgers Leach","6189.66"
"Sons Allison and","6186.13"
"Taylor and Boyd Carroll,","6184.24"
"Moore-Bailey","6183.11"
"and Mckee Sons","6182.99"
"and Alvarez Tran, Ortiz","6182.35"
"Richard, Foster Hill and","6181.27"
"Elliott Thomas Deleon, and","6179.62"
"Morton-Howard","6177.69"
"Jarvis Scott, Fleming and","6175.87"
"Martin-Barajas","6175.51"
"Herrera PLC","6175.49"
"Moran-Murray","6175.26"
"Collins-Hughes","6175.05"
"Delgado-Adams","6172.26"
"Adams and Campos Cooper,","6172.03"
"Gray Holt, Young and","6171.17"
"Smith-Ritter","6169.64"
"Young, Thornton Baird and","6164.96"
"Young Meyer Griffith, and","6164.76"
"Dickson Hines Lara, and","6163.84"
"and Cervantes, Rodriguez Lynch","6163.66"
"Johnson-Pacheco","6163.15"
"Heath-Brown","6162.35"
"King-Ford","6162.08"
"Gillespie and Cook Hancock,","6160.02"
"and Wilson Swanson, Griffin","6157.97"
"Owens and Neal Johnson,","6156.58"
"Bauer-Sutton","6156.34"
"Scott and Rivera, Brock","6155.94"
"Miller-Medina","6155.25"
"Sloan-Haney","6154.94"
"Higgins and Berry, Boone","6154.66"
"and Miller Davis Luna,","6153.78"
"Gomez-Khan","6152.76"
"James-Barrett","6152.60"
"Moore-Esparza","6150.97"
"and Ramos Sawyer, Vasquez","6149.85"
"and Gould Lopez Watts,","6147.97"
"Chambers-Barnett","6146.60"
"Gardner-Adams","6145.82"
"Stevens-Greer","6142.93"
"and Hernandez Mills, Harris","6141.39"
"and Steele Miller Butler,","6140.31"
"Ross-Simon","6139.31"
"Norris-Graves","6136.13"
"and Pham Sanchez, Johnson","6134.86"
"Cole, Chapman Bradley and","6133.52"
"Proctor-Jones","6132.40"
"Moody-Graham","6129.45"
"Johnson, Sanders Day and","6129.30"
"Villegas Inc","6125.98"
"Mckay Jones, Sanford and","6125.98"
"Glover-Mcgee","6125.88"
"and Richards, Torres Simon","6125.58"
"and Davis, Holland Mathis","6125.27"
"Mclean Hendrix, Brooks and","6123.88"
"Johnson-Little","6123.86"
"Brooks-Taylor","6121.06"
"and Francis Bell Morton,","6119.96"
"Krueger Group","6119.59"
"Pittman-Adams","6118.39"
"Bradley-Morris","6118.22"
"Rollins-Garrett","6117.89"
"Guerra and Escobar Schultz,","6117.61"
"Alvarez and Mullins, Barajas","6116.05"
"Flores-Harvey","6114.95"
"Fry-Wade","6114.30"
"Miller and Thompson, Diaz","6114.15"
"Adams-Marquez","6114.08"
"Dodson-Thomas","6112.09"
"Braun and Garcia, Little","6110.64"
"LLC Sawyer","6110.42"
"Patton-Anderson","6110.15"
"Blair Beard Jones, and","6108.96"
"and Ashley Decker, Hays","6108.55"
"Trujillo and Miller, Brown","6106.55"
"Clark-Brown","6104.59"
"Stafford, and Johnson Smith","6103.75"
"Berger-Lopez","6102.20"
"Johnson-Daniels","6101.07"
"Hogan Jones, and Reyes","6099.70"
"Mcguire and Lopez Daniels,","6099.38"
"Lozano, Kelley Mcdonald and","6097.99"
"Becker Cruz, and Alvarez","6096.66"
"Burns-Benson","6095.85"
"Wall Sims Johnson, and","6095.57"
"Hood-Reed","6094.12"
"Chang-Smith","6093.41"
"Barber-Adams","6091.34"
"Greene-Adkins","6091.33"
"Roberson-Olson","6090.59"
"Ramirez-Santiago","6083.12"
"and Hess, Nguyen Everett","6078.84"
"Pennington Wagner and Freeman,","6076.15"
"Mcdonald and Berg Brown,","6075.71"
"Berry-Cunningham","6071.44"
"and Norris Wilson Shah,","6070.96"
"Ferguson-Lee","6069.06"
"Vasquez-King","6067.67"
"Beard-Price","6067.06"
"Brooks, Odonnell Christensen and","6066.77"
"Peters Fox, and Bell","6065.71"
"and Briggs, Banks Daniels","6055.94"
"Phillips, Green Hunt and","6055.81"
"Robinson-Mendez","6054.49"
"Cox-Jones","6053.67"
"Davis Obrien and Rose,","6052.64"
"Kelley-Patel","6052.29"
"Conley-Owens","6050.31"
"Jackson Simmons, and Barnes","6050.20"
"Johnson and Jackson Rogers,","6049.76"
"Ltd Merritt","6049.20"
"Mccarthy Ltd","6045.93"
"Inc Morton","6041.47"
"and Mitchell, Alvarez Wilson","6040.56"
"Moore-Moore","6037.93"
"Floyd-Davis","6037.24"
"Macias Brooks Hanson, and","6036.82"
"and Montes Marshall Valdez,","6035.46"
"Whitney Inc","6034.30"
"Eaton Herman, Allen and","6033.92"
"Carr Noble and Stevenson,","6031.04"
"Rush-Lamb","6030.35"
"Hernandez-Harrington","6030.29"
"Stone-White","6030.23"
"Brown Joyce, and Smith","6029.99"
"Calhoun-Orozco","6029.45"
"Choi, Perez and Smith","6029.05"
"Clark-Lewis","6028.96"
"Cox and Schwartz Stewart,","6028.60"
"Lamb LLC","6027.98"
"Bowman and Gomez Nguyen,","6027.78"
"Brooks, and Rodriguez Hodge","6022.93"
"and Hale Martin Lang,","6021.46"
"Daugherty Group","6020.55"
"and Boyd Sons","6019.30"
"and Smith, Johnson Wilson","6019.15"
"and Smith Scott Mahoney,","6019.02"
"Valdez, and Moore Cruz","6016.24"
"Palmer, Nguyen Kim and","6015.62"
"Hill-Barrera","6014.02"
"White Williams and Frye,","6008.31"
"Group Gallagher","6007.83"
"Morrow, Martin Pham and","6007.64"
"Hunter Jimenez, Rios and","6007.43"
"Inc Reyes","6007.29"
"Coleman, Quinn and Miller","6005.72"
"Lutz-Warner","6005.55"
"Cruz-Cohen","6005.42"
"LLC Burch","6005.10"
"Travis and Warren, Johnson","6005.04"
"Stewart, Robertson Beard and","6003.99"
"Clark-Mayo","5998.10"
"Hardy-Sosa","5997.13"
"Mcbride-Ward","5997.00"
"Price Perez and Murillo,","5993.51"
"and Jones Guerrero, Tate","5992.50"
"and Brewer Thompson, Lloyd","5992.38"
"Prince Santana and Sosa,","5991.57"
"Fox-Yang","5991.51"
"Vance-Hunter","5991.12"
"Greer-Young","5991.06"
"Wilson-Perry","5989.82"
"Thomas and Evans Miller,","5989.61"
"Mathews Kennedy and Davis,","5988.25"
"Stafford-Collins","5984.68"
"Williams Cherry Lopez, and","5984.54"
"Hayes-Ramos","5984.35"
"Group Preston","5982.46"
"Nguyen and Padilla, Keller","5978.64"
"Esparza-Carpenter","5978.37"
"Freeman and Walsh Nixon,","5975.29"
"Lewis and Collier Mcneil,","5974.40"
"Harris-Crawford","5973.37"
"LLC Heath","5972.78"
"and Simpson, Castro Phillips","5970.52"
"Stanley-Jones","5970.22"
"Nixon and Martinez, Thomas","5969.25"
"Garcia-Duncan","5967.10"
"Norman-West","5966.86"
"Rasmussen Forbes Monroe, and","5966.40"
"Flores, Davis and Roberts","5966.13"
"Rosario-Anthony","5964.39"
"and Martin, Clark Smith","5963.66"
"Inc Hale","5960.86"
"Daniel Reed and Brady,","5957.74"
"and Lewis Thomas Carter,","5957.19"
"Trujillo-Hatfield","5956.64"
"Perkins, Bird and Johnson","5956.55"
"Barnett and Wilkerson, Davis","5956.20"
"and Stone Booth, Garcia","5954.73"
"Schneider and Hood, Ball","5954.09"
"and Alexander Espinoza Stone,","5953.11"
"and Mcintyre Alexander Graham,","5949.78"
"Estrada-Bradley","5949.01"
"Cobb Frye, Diaz and","5941.24"
"Williams Ray Castillo, and","5939.60"
"Duran-Berry","5939.30"
"White Smith, Wilkerson and","5937.90"
"Goodwin-Gutierrez","5937.45"
"Kennedy Andersen and Jones,","5937.16"
"Wheeler and Miller Burch,","5936.36"
"Morales, Sawyer and Levy","5933.24"
"Stewart-Perry","5931.99"
"Hall-Jenkins","5930.82"
"Richard Lee, Robertson and","5930.82"
"Sutton Meyer, Rogers and","5926.33"
"Berger-Wood","5925.74"
"and Jackson Hernandez Sanchez,","5925.51"
"and Bailey Phillips, Wright","5923.90"
"Jimenez-Dixon","5922.64"
"and Griffin, Garcia Carney","5922.10"
"and Sons Powell","5921.60"
"Mitchell, and Garcia Saunders","5919.30"
"Herrera White Bryant, and","5917.56"
"Gonzalez Williams, Sanchez and","5916.72"
"and Bailey Martin, Smith","5916.66"
"Phelps-Dunlap","5914.28"
"and Owens Taylor Brady,","5910.97"
"Morales-Chandler","5908.41"
"Rodriguez and Fernandez, Alvarado","5908.20"
"Santos Sons and","5905.44"
"Lee, Hendrix Ashley and","5904.91"
"Reynolds and Stone, Richards","5904.37"
"Douglas-Brooks","5903.66"
"and Hernandez Acevedo, Thompson","5901.61"
"Acevedo-Goodwin","5900.38"
"Ruiz, and King Lee","5899.51"
"Jenkins Group","5894.89"
"Diaz Lee, and Roberts","5894.18"
"Rios Collins and Foster,","5892.10"
"Dyer Ltd","5890.63"
"Terry, and Young Brady","5889.02"
"Casey-Rivera","5887.70"
"Oneill-Torres","5886.44"
"Wiggins-Williams","5885.53"
"Brandt, Rivas and Knight","5885.49"
"Velazquez-Noble","5884.73"
"Jones, and Matthews Ramirez","5884.47"
"Livingston-Adams","5882.31"
"Johnson Chavez and Wheeler,","5880.33"
"Shepard Ltd","5880.21"
"Patterson-Brown","5880.13"
"and Stokes Allen, Khan","5877.12"
"White Joyce Owens, and","5876.91"
"Moses-Ayala","5873.86"
"and Howard Clark Campbell,","5873.47"
"Larson-Jordan","5871.86"
"Sons Washington and","5870.33"
"Garrett-Jordan","5868.92"
"Murphy-Brewer","5867.84"
"Duran-Turner","5867.43"
"Archer Ltd","5866.45"
"Perez Jones and Wood,","5865.89"
"Hess and Kidd, Ford","5864.62"
"Sons and Vang","5863.55"
"and Sons West","5863.39"
"Campbell and Rowland, Smith","5859.24"
"and Young, Padilla Hunter","5856.57"
"Powers-Acosta","5855.44"
"Davis and Lawrence Davis,","5853.99"
"and Conley, Greene Grant","5851.53"
"Johnson, Ray Wall and","5849.95"
"Hardy PLC","5849.64"
"and Ward Cooper, Wright","5849.25"
"Watkins-Parker","5847.78"
"Yoder-White","5844.90"
"Morgan-Perez","5844.08"
"Smith-Valentine","5843.88"
"White-Hatfield","5843.24"
"and Martinez Wright, Kline","5841.42"
"Davis-Contreras","5840.54"
"and Miles King, Hancock","5840.36"
"Pena-Flores","5839.01"
"Nguyen Wallace Lawson, and","5836.39"
"Carter, Olson Lewis and","5834.06"
"Buck-Bonilla","5831.78"
"and Medina Morgan, Whitehead","5826.24"
"Anderson-Roberts","5824.62"
"Riley, Grimes Ruiz and","5823.05"
"Anderson and Perry, Pacheco","5822.93"
"Roberts-Mathews","5822.72"
"Herrera-Wang","5822.62"
"Gomez-Elliott","5822.28"
"Keller Wright and Graham,","5822.19"
"Dudley-Silva","5820.01"
"Barnett-Long","5818.61"
"Hernandez-Scott","5816.49"
"and Bailey Dickerson Dalton,","5814.75"
"Bishop Smith, Mason and","5814.48"
"Barber-Lang","5814.06"
"Meyer Brown Hall, and","5813.10"
"Jones-Clark","5812.54"
"Kim-Dodson","5812.04"
"Martinez White and Lee,","5811.67"
"Duran Sons and","5811.63"
"Kelly Smith and Hodges,","5810.14"
"and Howard Fuller, Friedman","5809.53"
"Acosta Sons and","5808.69"
"Nichols-Reyes","5808.61"
"Moreno-Salazar","5808.40"
"Lopez Moon and Raymond,","5807.58"
"Ross-Terrell","5806.71"
